title,label
 WATCH: Trump’s Wiretap Accusation BLOWN WIDE OPEN – He May Be Guilty Of Obstruction Of Justice,FAKE
 Republicans Push Bill To Legalize Voter Intimidation To Help Trump In Pennsylvania,FAKE
" He Did It Again: With Only Months Left, Obama Makes HUGE Move To Fix The World",FAKE
 Rep. Joe Kennedy Torches GOP Congress For Screwing Over Low-Income Kids,FAKE
Trump says U.S. upholds and sticks to 'one China' policy: Xinhua,TRUE
 Sarah Palin Cheers On Trump’s Persecution Of The Free Press And Gets HUMILIATED For It,FAKE
Trump lawyer's account about tweets raises questions about what president knew,TRUE
 WATCH: Trump Responds To Rising Anti-Semitism By Bragging About His Electoral College Win,FAKE
 Hannity Just Fired Off An ABSURD Tweet At CBS For Koppel Interview – Twitter SHREDS Him For It,FAKE
 Team Trump Puts A Proverbial Gun To The GOP’s Head: Support The Nominee Or Else,FAKE
"U.S. budget proposes allowing new toll roads, higher airline security fees",TRUE
Trump's eldest son testifies to Senate committee in Russia probe,TRUE
 WATCH: Bernie Sanders SCORCHES Trump For Abandoning Working Class To Help Wall Street,FAKE
 Trump Supporter Caught In Racist Meltdown While Waiting For Coffee (VIDEO),FAKE
What we know about U.S. probes of Russian meddling in 2016 election,TRUE
Senate backs legislation to slap new sanctions on Russia,TRUE
 Paul Ryan Refuses To Hold Town Halls Because He’s Too Afraid Of Protesters,FAKE
 WATCH: Kellyanne Conway Very Upset Hillary Clinton Is Not Doing Trump’s Job,FAKE
 Economists Warn Trump Would CRASH The Global Economy,FAKE
Russia sanctions bill remains stalled in U.S. Congress,TRUE
"In challenge to Trump, 17 Republicans join fight against global warming",TRUE
"Vermont governor snuffs legal pot, tells lawmakers to 'get it right'",TRUE
Tillerson ends China trip with warm words from President Xi,TRUE
Trump to make decision on Paris climate pact after G7 summit,TRUE
"Senators Burr, Tillis oppose Trump's EPA nominee Dourson: reports",TRUE
Trump administration seeks prompt raise of debt ceiling: White House,TRUE
 Trump Was Whining About White House Leaks. Chrissy Teigen Just Hit Back And It Is BRILLIANT (TWEET),FAKE
"Softening his approach, Trump helps seal a healthcare deal",TRUE
Trump orders review of financial rules to prevent future crises,TRUE
U.S. Justice Dept eyes spring to release findings on FBI handling of Clinton email probe,TRUE
 Schumer Breaks It Down: Explains Why Trump Hasn’t Accomplished Sh*t (VIDEO),FAKE
" Republican Goes Rogue, Blames Trump For Baseball Game Attack On GOP (VIDEO)",FAKE
U.S. Justice Department says anti-bias law does not protect gay workers,TRUE
Conservative Republicans unlikely to reject Upton's healthcare change: aide,TRUE
 LEAKED AUDIO: Trump Picked Miss USA Contestants Based On DISGUSTING ‘Trump Rule’,FAKE
"In divided Syria, U.S. strike both welcomed and condemned",TRUE
U.S. Senate panel approves Trump pick for top Treasury tax job,TRUE
 Paul Ryan Officially Hands What’s Left Of His Spine To Donald Trump (IMAGE),FAKE
Trump to give speech on U.S. tax overhaul on Wednesday: White House,TRUE
 John McCain Just Savaged Trump On Twitter (TWEET),FAKE
Two faces of Maine politics show rifts in state Republican party,TRUE
" Don Jr. Tries To Mock Al Franken’s Resignation, Backfires Immediately",FAKE
 This Single Anecdote Tells You EVERYTHING You Need To Know About Trump Voters,FAKE
" BREAKING: It’s Real, Russia Stole Our Election And Now Officials Have Definitive PROOF",FAKE
U.S. health insurers want Cruz proposal dropped from Senate bill,TRUE
Senate Democrats vow to fight drilling in Alaska reserve,TRUE
" Senate Has Had Enough Of Trump’s Obstruction, Handcuffs His Ability To Appoint An AG To Fire Mueller",FAKE
"Paul Manafort, Special Counsel Mueller tussle over Ukrainian op-ed",TRUE
Labor activists target Midwest politicians opposing wage increases,TRUE
Moderate Republicans warn of trouble for tax reform,TRUE
Senator Flake expects more Republicans to denounce Trump,TRUE
 WATCH: Bill Maher Returns And Hilariously Mocks Drug Addicted Red States For Voting Trump,FAKE
 Joy Behar Just SHREDDED Trump After He Praised Putin And Slammed Obama (VIDEO),FAKE
 Trump: I Don’t Meet With The Press Because They Mangle My ‘Beautiful Flowing Sentences’,FAKE
 Former GOP Rep Throws Support Behind Obamacare After Becoming Unemployed With Pre-Existing Condition,FAKE
" IT’S ON: Toddler Trump Hears Critical McConnell Statements, Promptly Starts To Lose It (TWEETS)",FAKE
 Trump’s Rhetoric Just Resulted In A Trillion Dollar Economic Loss Worldwide,FAKE
 HILARIOUS: What A Trump Ad For Black Voters Would REALLY Look Like (VIDEO),FAKE
 Trump’s Puerto Rico Contract With Two-Man Energy Company Is Corrupt As F*ck,FAKE
 Rick Santorum On CNN Addresses Anti-Semitism Under Trump: It’s Obama’s Fault (VIDEO),FAKE
 Twitter Blasts Trump’s Ego To BITS After He Attacks His Own Show For Being Terrible (TWEETS),FAKE
Illinois budget uncertainty extends into new fiscal year,TRUE
 Twitter Has Absolute Field Day Laughing At Trump For Blinding Himself During Eclipse,FAKE
"Trump, McConnell say they remain united on shared goals",TRUE
" The NRA Just Mocked Kim Kardashian After She Was Robbed At Gunpoint, And It’s HORRIFYING (TWEETS)",FAKE
 Twitter Throat-Punches Trump After His Latest Stupid Lie About The New York Times (TWEETS),FAKE
Trump heaps praise on 'very special' Xi in China visit,TRUE
Toned-down White House press dinner carries on without Trump,TRUE
 These Charts Show Why We’re All Screwed Under The GOP Health Care Bill,FAKE
" Trump Might Be About To Viciously Sabotage Healthcare, All To Try And Blame Obama (DETAILS)",FAKE
"Liberal, conservative lawmakers offer opposing U.S. healthcare ideas",TRUE
" Sarah Palin Offers To ‘Keep An Eye’ On Russian Hackers From Her House, Hilarity Ensues (TWEETS)",FAKE
New U.S. sanctions bill delayed by concern over Iran election,TRUE
Goldman's Donovan to withdraw from deputy Treasury secretary nomination: source,TRUE
 Nixon Historian Says Donald Trump Is More Petty And Vengeful (VIDEO),FAKE
 Donald Trump Was Tweeting Again Last Night; He’s Furious About The Russian Leaks,FAKE
U.S. agency to recommend scaling back some national monuments,TRUE
 Trump Tweeted Nine Times To Deleted Russian Twitter Accounts And No One Is Talking About It,FAKE
 Trump Adviser Just Proved Hillary’s ‘Basket Of Deplorables’ Comment Correct With One Image,FAKE
"Dispute erupts over House panel subpoenas for CIA, FBI",TRUE
Prosecutors argue against prison time for New Jersey 'Bridgegate' mastermind,TRUE
 WHOA: Russians Hacked Voting Systems In 39 States,FAKE
 WATCH: Trump’s Chief Of Staff John Kelly Just Admitted That He Doesn’t Think There Was Anything Wrong With Slavery,FAKE
" If You’re Looking For Ways To Irritate Trump, Here Are Some Tips (IMAGES)",FAKE
 IRS Slams Trump Foundation For Breaking The Law,FAKE
" Trump Just Bailed On His Own Pittsburgh Not Paris Rally, The Reason Why Is Infuriating",FAKE
 Trump’s Administration Was Just Caught Up In Prostitution Scandal; Here’s How It Went Down (DETAILS),FAKE
"Trump, Netanyahu's wife lament negative media coverage",TRUE
Republican senators wobble on House Obamacare plan,TRUE
 BREAKING: Yet ANOTHER Trump Advisor Caught With Disturbing Russian Connections,FAKE
 Hypocrite Jeff Sessions’ OWN WORDS On Perjury Just Came Back To Bite Him On The Ass,FAKE
 Trump Just Made A Hugely Inappropriate Threat Over Trumpcare While Speaking To Boy Scouts (VIDEO),FAKE
"Chinese state media cheer Xi-Trump meeting, say confrontation not inevitable",TRUE
Trump to order a study on abuses of U.S. trade agreements,TRUE
 SEARING WaPo Op-Ed CRUSHES Rudy Giuliani’s Claims That Hillary Is Sick,FAKE
Trump met Stanford's John Taylor in Fed chair search: official,TRUE
Key Republican senator doubts 15 percent corporate tax rate can be reached,TRUE
 Syrian Air Base Trump Spent $80 Million Attacking Yesterday Already Up And On Bombing Raids Again,FAKE
Trump in tax meeting amid fight with Republican senator,TRUE
FBI raid on ex-Trump aide's home shows Russia probe intensifies,TRUE
Senate votes to proceed with confirmation vote on SEC nominee,TRUE
 General Motors NAILS Trump For Lying After He Accuses Them Of Making Chevy Cruze In Mexico,FAKE
 Trump’s Mar-a-Lago Trips Force Secret Service To Divert Crime-Fighting Funds To Pay For More Security,FAKE
 Former Trump Aides Admit They HAVE To Treat Trump Like A Man Baby And Control His Media Habits,FAKE
"In blow to Trump, U.S. appeals court refuses to reinstate travel ban",TRUE
"Take cover, avoid bomb flash. Guam issues nuclear guidelines",TRUE
 Woman Regrets Voting For Trump After He Picks Man Who Took Her House Away As Treasury Secretary,FAKE
" BREAKING: Benghazi Committee Shuts Down After Trump Win, Proving It Was Just A Clinton Witch Hunt",FAKE
 WATCH: Trump Defender Gets HUMILIATED By Anderson Cooper For Absurd Wiretapping Claim,FAKE
Florida LGBT rights push reflects changing times,TRUE
"Trump, China's Xi committed to denuclearization of Korean peninsula:  White House",TRUE
 Trump Just Broke Another MAJOR Campaign Promise And People Are Outraged,FAKE
 You Really Don’t Want To Miss This Drag Queen Interviewing Trump Minions (VIDEO),FAKE
 OkCupid Wins The Internet With PERFECT Response To The Charlottesville Neo-Nazi On Their Site (TWEETS),FAKE
 Denver Police Officer Literally Tells Protesters To Stop Doing Anything That’s Free Speech,FAKE
 Trump Supporter In Phoenix Just Threatened John McCain’s Life,FAKE
Trump believes House will pass healthcare bill Thursday: White House,TRUE
" Trump Embarrasses America Again, Lets Ivanka Take His Place At G-20 Summit",FAKE
 Authors Of Failed GOP Bill Which Would Have Kicked 24 Million Off Insurance Reportedly ‘Near Tears’,FAKE
State Department denies Tillerson called Trump a moron,TRUE
Maryland lawmakers approve bill to fight drug price-gouging,TRUE
" DESPERATE: Trump Doubles Down On Wiretap Lie, Says He Will ‘Be Proven Right’",FAKE
 Cowardly Paul Ryan Locks Constituents Out Of Their Own Capitol Instead Of Listening To Them (DETAILS),FAKE
 Trump’s Response To Special Counsel Shows Just How Bad Things Really Are,FAKE
 BREAKING: Active Shooter Reported Outside Los Angeles Polling Location – 1 Dead,FAKE
U.S. court rejects bid to throw out Maryland electoral map,TRUE
 Court Forces Ohio To Allow Millions Of Illegally Purged Voters Back On The Rolls,FAKE
"Trump, Clinton camps both offered slice of dossier firm's work: sources",TRUE
"In Georgia, battle of the 'Staceys' tests Democrats' future",TRUE
Exclusive: Special counsel Mueller to probe ex-Trump aide Flynn's Turkey ties,TRUE
 Ruth Bader Ginsburg Rebukes Trump In Defense Of The Free Press,FAKE
" Trump Sticks To Racist Birther Conspiracy Theory, Won’t Admit Obama Born In USA",FAKE
" Trump Just Got Some Really, REALLY Bad News About His Tax Returns (DETAILS)",FAKE
 Trump Pisses Off Yet Another World Leader With His Latest Broken Campaign Promise (TWEET),FAKE
 Drunk Bragging Trump Staffer Started Russian Collusion Investigation,FAKE
 Trump Goes On DELUSIONAL Tweet Storm About Democratic Party Chair Election (DETAILS),FAKE
 Trump Says ‘Illegals’ Are Here To Chop Up Teen Girls With Knives Because Shooting Them Isn’t Painful Enough,FAKE
Senate tax bill stalls on deficit-focused 'trigger',TRUE
House panel to unveil self-driving car legislation soon: aide,TRUE
"Clinton says Comey's letter, Russian hackers cost her the election",TRUE
" After Pulling NFL-Related Ads, Papa John’s Gets An Unlikely Sponsor Of Their Own: Nazis",FAKE
" Trump Lawyer LITERALLY Argued That Muslim Ban Shouldn’t Be Based In Reality, And Twitter Is LOSING IT (VIDEO/TWEETS)",FAKE
 CNN Guest Drops Truth Bomb About Who Trump’s Minority ‘Outreach’ Is Really Aimed At (VIDEO),FAKE
Factbox: Women who have accused Trump of inappropriate conduct,TRUE
 Ex-DOJ Lawyer Just Dropped The Most Depressing Truth Bomb About The Trump Administration,FAKE
Trump did not ask former FBI Director Comey to pledge loyalty: White House,TRUE
 Protesters BEAUTIFULLY Troll Jason Chaffetz After He Accuses Them Of Being Paid,FAKE
" Trump Snubs World Leaders On Climate, Pulls Out Of Paris Accord",FAKE
U.S. charges Turkish banker in Iran sanctions probe,TRUE
Trump pledges fealty to NRA gun lobby,TRUE
 Ann Coulter Just Had A Total Meltdown Over ‘This Jackass’ In The White House,FAKE
" Republicans Say Everything’s Terrible Because Of Obama, Show Them THIS And Shut Them Up",FAKE
White House says no evidence of Trump team collusion with Russians,TRUE
 Trump Goes Into Full Denial Mode During Temper Tantrum Over Historically Low Approval Rating,FAKE
 Obama Officials Were Forced To Take BIZARRE Measure To Ensure Trump Didn’t Hide Russia Documents,FAKE
 BOMBSHELL: Trump Called ‘The Apprentice’ Sound Guy A ‘F***ing Monkey’ Over And Over (DETAILS),FAKE
"Obama discriminated against coal, nuclear: U.S. energy secretary",TRUE
 Van Jones Just Gave The Most Hilariously PERFECT Description Of His Trump-Supporting Friend Jeffrey Lord,FAKE
 This Historic Lawsuit May Finally Expose Trump’s Tax Returns,FAKE
Sexual misconduct allegations may roil 2018 U.S. congressional elections,TRUE
"House Intelligence postpones closed session with FBI, NSA",TRUE
"Trump again urges Senate to loosen rules, push healthcare and tax reforms",TRUE
Syrian regime bears 'full responsibility' for U.S. strikes: NATO,TRUE
 Stephen Hawking Says He’s Afraid Of Visiting The U.S. Till Trump Is Gone (VIDEO),FAKE
U.S. tax repatriation plan may not cure long-term dollar weakness,TRUE
Senator McCain returning to Arizona for cancer treatment: statement,TRUE
 REPORT: Melania And Barron Trump Will Not Be Moving Into The White House,FAKE
 Cory Booker SHUTS DOWN Every Republican Fighting To Defund Planned Parenthood In Just 2 Minutes (VIDEO),FAKE
Venezuela says U.S. sanctions designed to push Venezuela to default,TRUE
Trump retains Marc Kasowitz as private attorney for Russia probe: source,TRUE
" Trump Cancels Air Force One, The Reason Why Is INSANE (TWEET/VIDEO)",FAKE
Funding battle looms as Texas sees Harvey damage at up to $180 billion,TRUE
 Military Expert Vows To Take Trump Up On His Challenge,FAKE
Interior Department watchdog drops probe of threat to Alaska senator on healthcare,TRUE
 Trump Experiments With State-Run TV And Gets Laughed Off The Internet,FAKE
Trump administration sued over phone searches at U.S. borders,TRUE
 Conservatives VICIOUSLY Attack Michelle Obama For Condemning Trump’s Predatory Behavior,FAKE
"UK PM May is focused on tackling extremism, spokesman says in response to Trump",TRUE
U.S. Senator Menendez's corruption trial to proceed: judge,TRUE
 Trump’s Favorite News Channel Tries To Soothe His Battered Ego – Gets Taken To The Cleaners,FAKE
 ICE May Soon Be Able To Destroy Records Of Immigrant Detainee Sexual Abuse And Death,FAKE
Republican Tiberi to leave Congress in January: statement,TRUE
Factbox: U.S. Congress investigates links between Trump and Russia,TRUE
Former U.S. Homeland Security officials back nominee ahead of hearing,TRUE
White House proposes reviving Yucca Mountain nuclear waste site,TRUE
"For Trump, Mar-a-Lago is place to break the ice with China's Xi",TRUE
 The Internet Can’t Stop Laughing At Sarah Huckabee Sanders’ Dumbass Tweet (SCREENSHOTS),FAKE
Yemen official says disappointed by U.S. Supreme court decision on travel ban,TRUE
"CEOs of Target, ADM offer differing views on U.S. border tax at hearing",TRUE
 JUST IN: Man-Child Boasts He’s The Best President EVER; Doesn’t Know How Long He’s Been In Office,FAKE
 American Psychoanalytic Association Gives Members Permission To Diagnose Trump’s Mental Health,FAKE
Russia calls emergency U.N. task force meeting on Syria strikes,TRUE
"Attorney General Sessions visits White House, not Trump",TRUE
 Democrats Are Pushing A Bill On Tax Returns That Has Donald Trump Scared Sh*tless,FAKE
Maine Democratic lawmaker blasted for threatening post about Trump,TRUE
 Trump Tries Shaming NFL With Video Of Hockey Fans Standing For Anthem And Humiliates Himself,FAKE
 Trump-Loving Santa Removed From Mall After Trash-Talking Hillary Clinton To Kids (VIDEO),FAKE
Trump tweets about Russia probe spark warnings from lawmakers,TRUE
 New Poll Has Very Bad News For The NRA (DETAILS),FAKE
 Sean Hannity Just Showed EXACTLY How Delusional Conservatives Are In A Single Statement,FAKE
 ‘A Gimmick’: It Just Dawned On Republicans That Trump Is Full Of Sh*t About The Wall,FAKE
Trump vows to back U.S. dairy farmers in Canada trade spat,TRUE
" The White House Just Issued A Statement On Jeff Sessions’ Treason, And It’s Absolutely SICK",FAKE
"Court document shows Manafort wealth, ties to Russian oligarchs",TRUE
 WATCH: Saturday Night Live HUMILIATES Trump For Being A Useful Idiot To Putin,FAKE
 One Of Hillary’s Opponents Could Drop Out And Endorse Her (VIDEO),FAKE
Mexico sets out NAFTA goals ahead of re-negotiation talks: document,TRUE
Judge in Michigan blocks deportation of 100 Iraqis,TRUE
 The FBI Just Received A Voter Suppression Complaint That Will TERRIFY Trump,FAKE
"Ryan says U.S. tax reform consensus nears, does not mention border tax",TRUE
" Trump Tweets A Douchey, Self-congratulatory “THANK YOU” And Americans Tell Him Where He Can Shove It (TWEETS)",FAKE
" Desperate Staff Sent Melania To Stop 2-Hour Trump/Putin Meeting, She Failed",FAKE
 Racist Teacher Fired For DISTURBING Viral Facebook Post About Michelle Obama (IMAGES),FAKE
Trump says ahead of former FBI Director Comey's testimony: 'I wish him luck',TRUE
U.S. defense budget proposal sees modest increase despite hawkish rhetoric,TRUE
Puerto Rico governor vows statehood push after referendum win,TRUE
 Trump’s Plan To Quietly Sneak Into England Backfires – And Now He Has To Publicly Disavow The Trip,FAKE
House Democrat calls GOP Clinton probe scheme to 'distract' from Russia inquiry,TRUE
Trump administration may seek NAFTA currency provision - Mnuchin,TRUE
Paul Ryan cites Trump lack of experience amid FBI Russia probe,TRUE
Factbox: Trump on Twitter (Nov 27) - Networks,TRUE
"U.S. Senator McCain opposes Obamacare repeal bill, a possible fatal blow",TRUE
 Emboldened NRA Threatens New York Times: ‘We’re Coming For You’ (VIDEO),FAKE
 WATCH: Kellyanne Conway Says Worldwide Chaos Is A ‘Small Price To Pay’ For Banning Muslims,FAKE
Democrats introduce new bill on Russia and Iran sanctions,TRUE
 President Obama Tells Audience Why Americans Deserve Trump And Republicans,FAKE
Trump criticized for tweet on London mayor after bridge attacks,TRUE
U.S. attorney general due to face Democrats' Russia questions next week,TRUE
Trump officials to unveil plan to cut factory rules this week,TRUE
"Trump's pick Gorsuch sworn in, restoring top court's conservative tilt",TRUE
"Trump notes Flynn lied to FBI, says his actions during transition were lawful",TRUE
 WATCH: Sean Spicer Just Defended Michael Flynn While Attacking Sally Yates,FAKE
Putin: alleged Manafort Russian link fabricated by Trump opponents,TRUE
 WATCH: Van Jones Epically SCOLDS Trump Supporters For Defending ‘Rigged Election’ Debate Talk,FAKE
White House wants Republican in Alabama Senate seat for tax bill vote: adviser,TRUE
French envoy says Paris climate deal doesn't infringe on U.S. sovereignty,TRUE
"Trump budget plan to propose major cuts for State Dept., EPA: NY Times",TRUE
"At U.N., U.S. tells Russia it's isolating itself by backing Assad",TRUE
U.S. seeks to dismiss lawsuit against Trump over foreign payments,TRUE
 Racists DISGUSTINGLY Attack And Blame President Obama For Torture Of White Disabled Man,FAKE
 Trump Tells Democrats To Kiss His A** After Special Election And Internet Tells Him To Go F*ck Himself,FAKE
 Sources Confirm Robert Mueller’s Office Interviewed Jared Kushner Several Weeks Ago,FAKE
U.S. list of NAFTA goals 'not earth-shattering': Canada source,TRUE
Latest Senate healthcare bill would leave 22 millio without insurance: CBO,TRUE
Senators want food safety review when U.S. firms sold overseas,TRUE
Senators advised House vote on healthcare unlikely before Monday: aide,TRUE
Mexico urges respect from U.S. for 2018 presidential election,TRUE
Trump says he's likely to sign healthcare order this week,TRUE
"Defying Trump, California lawmakers vote to become 'sanctuary state'",TRUE
"Under pressure from Trump, Price resigns as health secretary over private plane uproar",TRUE
Mississippi lawmaker 'sorry' he urged lynching for statue removal,TRUE
" WATCH: House Dem Has Had ENOUGH, Formally Starts Impeachment Proceedings Against Trump",FAKE
Credit union sues to block Mulvaney from leading CFPB,TRUE
Senate parliamentarian rules against tax bill provisions: Sanders,TRUE
"On healthcare deal, Trump says he will not 'enrich' insurance companies",TRUE
Judge blocks provisions in Texas law punishing 'sanctuary cities',TRUE
" U.S. Press Corps Breaks Silence, Drops MAJOR Bombshell In SCATHING Open Letter To Trump (DETAILS)",FAKE
Federal judge in Hawaii extends court order blocking Trump travel ban,TRUE
USTR nominee: 'awaiting instructions' from Trump on EXIM Bank,TRUE
Trump taps top Sessions attorney to lead civil division: White House,TRUE
Syrian presidency vows to step up campaign against militants,TRUE
House Speaker Ryan says U.S. government shutdown unnecessary,TRUE
 Kellyanne Conway: Trump Is ‘Gracious’ To Not Prosecute Clinton While Recount Is Underway (VIDEO),FAKE
Tillerson plays down tensions with Trump,TRUE
"Trump administration switches sides, backs Ohio over voter purges",TRUE
 Mark Cuban Hilariously BURNS Trump For Attacking Him On Twitter (TWEETS),FAKE
China's Xi fetes Trump on first day of Beijing trip,TRUE
"U.S. expels 15 Cuban diplomats, fuelling tensions with Havana",TRUE
Trump to get a range of options to curb steel imports: senators,TRUE
 Donald Trump’s Racist Plan Is About To Start IMMEDIATELY,FAKE
 The King Of Anti-Hillary Trolling Is A Near Billionaire Whose Company Was Bought By Facebook,FAKE
 Democratic Twitter Hero Ted Lieu Taunts Trump Over Just-Passed Russia Sanctions,FAKE
Judge refuses to remove block on Trump sanctuary city order,TRUE
ADVISORY: Story on Kushner visiting Iraq withdrawn,TRUE
U.S. House Democratic leader Pelosi says Conyers should resign,TRUE
Britain 'disappointed' with Trump's climate move,TRUE
Republican senator: Tax plan needs more relief for pass-through businesses,TRUE
 Don Trump Jr. Testified To The Senate Today And They Don’t Seem To Believe A Word He Said,FAKE
" BREAKING: Sessions Lied, Discussed Trump Campaign With Russian Government",FAKE
 ‘Has She Had A Brain Aneurysm?’: Glenn Beck Concerned Over Sarah Palin’s Erratic Behavior (VIDEO),FAKE
 BREAKING: This New Analysis BAD News For Obamacare Haters (DETAILS),FAKE
 Sean Spicer Just Said Something About Trumpcare That Will Make Trump PISSED (DETAILS),FAKE
 Some Of The White House Leaks May Be Coming From The MOST Unexpected Place,FAKE
" Sean Spicer Just Gave Trump Credit For Something Obama Did, White House DESPERATE (TWEET)",FAKE
U.S. 'diversity visa' program in spotlight after New York attack,TRUE
Controversial Milwaukee County sheriff says taking U.S. Homeland Security post,TRUE
 Trump Presidency IMPLODES As 17 Top White House Officials BETRAY Him In EXPLOSIVE Report (DETAILS),FAKE
"White House expects Senate to change healthcare bill, but retain principles",TRUE
 WATCH: Van Jones Scorches Insane Republican Who Think’s Trump’s Chaos Helps His Agenda,FAKE
Russia's foreign minister discussed Syria with his Turkish counterpart,TRUE
" Robert De Niro Attends Charity Event, Tears Into That ‘Motherf***er’ Donald Trump",FAKE
"Canada, Mexico vow to stick with NAFTA talks, Mexico works on Plan B",TRUE
Senator McCaskill drafts bill in response to Allergan patent maneuver,TRUE
 Ivanka Just Threw Her Father Under The Campaign Bus: ‘I’m NOT A Surrogate’ (VIDEO),FAKE
 Donald Trump Is Time’s Person Of The Year — So Was Hitler… And Stalin… And Putin,FAKE
" WATCH: Morning Joe Host Tells Kellyanne Conway To Go F*ck Herself, BANS Her From Show",FAKE
" Trump Is Bragging About His Approval Rating, But There’s Just One Tiny Problem",FAKE
U.S. lawyer defending travel ban grilled in court over Trump's tweets,TRUE
 McConnell Says He’ll Obstruct ANY Effort To Hire Independent Special Prosecutor,FAKE
"Trump administration approves tougher visa vetting, including social media checks",TRUE
State Department will implement travel ban in 'orderly fashion': spokeswoman,TRUE
Trump considering four FBI officials as interim replacement for Comey: official,TRUE
 MSNBC Host Actually CHOKES While Saying Giuliani Could Be Attorney General (VIDEO),FAKE
" Trump’s Lawyer Posts Photo Of His Daughter In Lingerie, Says You’re Just Jealous Of How Hot She Is",FAKE
 Pro-Clinton Group Launches Devastating Nuclear War Ad Against Trump,FAKE
Italy says supports U.S. strikes on Syria,TRUE
Senate Republican Murkowski leaning yes on tax reform budget,TRUE
U.S. judge views $25 million Trump University settlement favorably,TRUE
Trump picks financier Scaramucci to head White House communications: official,TRUE
Trump proposes 15 percent business tax rate: White House summary,TRUE
 Obama Just OBLITERATED The GOP’s Threat To Kill The Supreme Court If Hillary Wins,FAKE
Trump supports NATO's collective defense clause: senior official,TRUE
Trump's nominee for Fed says banking rules need 'refinements',TRUE
Republican senator Graham says Trump's race remarks dividing U.S.,TRUE
Anthem to pare back Obamacare offerings in Nevada and Georgia,TRUE
 Trump Set To Rake In The Dough With MASSIVE Post-Election Tax Break,FAKE
 Medicaid Directors Of All 50 States Issue Joint Statement Slamming GOP Health Bill,FAKE
"Factbox: Highlights of Trump's calls with leaders of Mexico, Australia",TRUE
Key U.S. senators reach deal on funding children's health program,TRUE
 Rachel Dratch Brings Up OBVIOUS Problem With Trump No One Seems To Be Saying (TWEET),FAKE
"Instant View: House approves biggest tax overhaul in 30 years, Senate next",TRUE
 Moby LITERALLY Laughs At Donald Trump’s Invitation To DJ At His Inauguration,FAKE
Trump objects to terminology of border adjustment tax,TRUE
